Date Announced,Announced,#N/A,Aichi,Akita,Chiba,Ehime,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ishikawa,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nara,Niigata,Oita,Okinawa,Osaka,Saitama,Shiga,Shizuoka,Tochigi,Tokushima,Tokyo,Unspecified,Wakayama,Yamaguchi,SUM
2020-02-13,6,2,0,4,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,9,1,0,0,40
2020-02-14,6,3,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,11,10,2,0,0,48
2020-02-15,6,4,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,18,10,5,0,0,59
2020-02-16,6,6,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,22,10,5,0,0,65
2020-02-17,6,6,0,4,0,0,0,0,0,0,2,0,0,5,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,23,13,9,0,0,74
2020-02-18,6,7,0,4,0,0,0,0,0,0,3,0,0,8,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,26,13,12,0,0,85
2020-02-19,6,8,0,4,0,0,0,0,0,0,4,0,0,8,0,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,29,13,12,0,0,91
2020-02-20,6,9,0,5,0,2,0,0,0,0,5,0,0,10,0,0,2,1,0,0,0,1,0,0,3,1,1,0,0,0,0,30,13,12,0,0,101
2020-02-21,6,11,0,7,0,2,0,0,0,0,8,0,1,11,0,1,2,1,0,0,0,1,0,0,3,1,2,0,0,0,0,33,13,12,0,0,115
2020-02-22,6,15,0,9,0,2,0,0,0,0,17,0,2,15,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,34,13,13,0,0,140
2020-02-23,6,17,0,10,0,2,0,0,0,0,26,0,2,15,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,34,13,13,0,0,152
2020-02-24,6,17,0,10,0,2,0,0,0,0,30,0,3,16,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,39,13,13,0,0,163
2020-02-25,6,20,0,10,0,2,0,0,0,0,35,0,4,16,0,5,2,1,0,0,1,1,0,0,3,1,2,0,0,1,1,39,13,13,0,0,176
2020-02-26,6,25,0,13,0,2,0,1,0,0,39,0,4,18,0,5,2,1,0,0,2,1,0,0,3,1,2,0,0,1,1,42,13,13,0,0,195
2020-02-27,6,27,0,13,0,2,0,2,0,0,54,0,5,22,0,5,2,1,0,0,2,1,0,0,3,2,2,0,0,1,1,43,13,13,0,0,220
2020-02-28,6,28,0,13,0,2,0,2,0,0,66,0,6,23,0,5,2,1,0,0,2,1,0,0,3,4,2,0,1,1,1,43,13,13,0,0,238
2020-02-29,6,29,0,13,0,2,0,2,0,0,70,0,6,23,1,5,2,1,1,0,2,1,1,0,3,4,2,0,1,1,1,44,13,13,0,0,247
2020-03-01,6,32,0,14,0,3,0,2,0,0,72,1,6,26,2,5,2,1,1,0,2,1,1,0,3,4,2,0,1,1,1,46,13,13,0,0,261
2020-03-02,6,32,0,14,1,3,0,2,0,0,77,1,6,32,3,5,2,1,1,0,2,1,5,0,3,6,2,0,1,1,1,46,13,13,0,0,280
2020-03-03,6,41,0,14,1,3,0,2,0,0,79,3,6,33,3,5,3,1,1,0,2,1,5,1,3,8,2,0,1,1,1,47,13,13,1,0,300
2020-03-04,6,50,0,15,2,3,0,2,0,0,82,3,6,33,7,6,5,1,1,1,2,1,5,1,3,17,2,0,1,1,1,51,13,13,1,0,335
2020-03-05,6,58,0,15,2,3,0,2,0,0,83,4,6,37,7,6,6,1,1,1,2,1,6,1,3,18,4,1,1,2,1,59,13,14,3,0,367
2020-03-06,6,63,2,17,2,3,0,2,0,0,90,8,6,42,9,6,7,1,1,1,3,4,6,1,3,31,7,1,1,2,1,65,13,14,3,1,422
2020-03-07,6,70,2,21,2,3,1,2,1,1,98,10,6,43,10,6,8,1,1,1,3,4,6,1,3,41,7,1,1,2,1,71,13,14,3,2,466
2020-03-08,6,81,2,21,2,3,1,2,1,1,101,12,6,43,12,6,8,1,1,1,3,4,6,1,3,55,8,1,1,2,1,71,13,14,3,2,499
2020-03-09,6,86,2,22,2,3,1,2,1,1,108,14,7,44,12,6,12,1,1,1,3,6,8,1,3,55,8,1,1,2,1,71,13,14,3,2,524
2020-03-10,1,99,2,23,2,3,1,2,1,1,111,19,7,46,12,6,13,2,1,1,3,7,11,1,3,73,13,1,2,2,1,74,12,14,3,2,575
